Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,получение средств,546.26,безналичный,Брест,МаксБанк-SNXC-303,2008-03-04,01:59:09,успешно,нет,0.0
юр. лицо,списание средств,624.49,безналичный,Гомель,МаксБанк-BLYI-293,2007-09-11,12:54:25,успешно,нет,0.0
юр. лицо,получение средств,1331.13,безналичный,Витебск,БелАгропромбанк-FHWB-742,2003-08-08,18:30:25,успешно,нет,0.0
физ. лицо,получение средств,4932.95,безналичный,Брест,Приорбанк-NSZR-257,2007-02-08,08:41:30,успешно,нет,0.0
юр. лицо,списание средств,3285.15,безналичный,Гомель,Приорбанк-KYAS-804,2003-06-04,02:38:08,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1037.46,наличный,Витебск,Приорбанк-NIVX-492,2002-12-11,00:16:31,успешно,нет,0.0
физ. лицо,получение средств,4853.23,безналичный,Гомель,Приорбанк-ZROQ-601,2003-08-12,21:02:12,успешно,нет,0.0
физ. лицо,списание средств,562.38,безналичный,Гродно,Приорбанк-CABD-624,2010-06-04,11:30:41,неправильный ввод пин-кода,да,14.3
юр. лицо,списание средств,4535.17,безналичный,Витебск,Белинвестбанк-ZSYO-454,2011-10-08,04:01:05,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1203.97,наличный,Гродно,Беларусбанк-OJAS-901,2001-03-09,03:59:08,успешно,нет,0.0
физ. лицо,списание средств,1903.14,безналичный,Витебск,Беларусбанк-UCFK-954,2002-03-11,01:40:22,недостаточно средств,нет,0.0
физ. лицо,списание средств,1671.52,безналичный,Могилев,Приорбанк-GYQF-361,2006-05-06,10:34:18,неправильный ввод пин-кода,да,40.0
физ. лицо,списание средств,3630.74,безналичный,Гомель,Приорбанк-PPNU-769,2011-11-04,02:55:37,недостаточно средств,нет,0.0
юр. лицо,списание средств,1535.47,безналичный,Могилев,Приорбанк-NUMN-563,2005-01-02,18:31:26,недостаточно средств,да,80.45
юр. лицо,получение средств,2825.74,наличный,Гомель,Белинвестбанк-IQUS-136,2007-03-02,12:59:57,успешно,нет,0.0
юр. лицо,списание средств,1798.29,безналичный,Могилев,МаксБанк-UAZY-112,2003-02-03,07:40:56,успешно,да,138.94
физ. лицо,списание средств,2443.89,безналичный,Минск,Беларусбанк-JFGX-262,2013-04-08,00:07:27,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2040.41,безналичный,Могилев,БелАгропромбанк-MYLD-825,2010-02-01,03:24:21,успешно,нет,0.0
физ. лицо,списание средств,1987.35,безналичный,Могилев,Белинвестбанк-CEFJ-810,2012-03-04,02:09:14,успешно,да,29.7
физ. лицо,списание средств,4468.15,безналичный,Гродно,Беларусбанк-YUBS-122,2010-01-11,02:08:58,успешно,нет,0.0
физ. лицо,списание средств,1126.25,безналичный,Витебск,Белинвестбанк-SQMV-572,2011-03-07,20:28:23,недостаточно средств,нет,0.0
физ. лицо,получение средств,3781.62,безналичный,Витебск,БелАгропромбанк-KUEL-730,2007-07-03,11:51:54,успешно,нет,0.0
юр. лицо,списание средств,1087.93,безналичный,Гомель,МаксБанк-SEUC-578,2007-09-09,06:06:45,неправильный ввод пин-кода,да,98.64
юр. лицо,получение средств,2766.63,безналичный,Минск,Белинвестбанк-ISTC-028,2006-05-09,01:00:13,успешно,нет,0.0
юр. лицо,получение средств,2244.72,наличный,Могилев,Белинвестбанк-MIOR-324,2003-11-12,19:32:31,успешно,нет,0.0
юр. лицо,списание средств,701.32,наличный,Гродно,Белинвестбанк-AVYC-449,2000-03-08,11:34:30,успешно,да,60.32
юр. лицо,списание средств,17.2,наличный,Минск,Белинвестбанк-ZDRW-066,2006-04-04,11:42:08,недостаточно средств,да,1.12
физ. лицо,получение средств,3789.9,наличный,Брест,Белинвестбанк-DSYV-160,2003-04-02,21:56:15,успешно,нет,0.0
юр. лицо,получение средств,4594.57,безналичный,Гомель,Приорбанк-CKEA-924,2003-12-06,15:56:22,успешно,нет,0.0
юр. лицо,списание средств,3023.62,безналичный,Гомель,Приорбанк-VOFW-361,2006-07-12,22:42:46,недостаточно средств,нет,0.0
физ. лицо,получение средств,2207.18,наличный,Минск,МаксБанк-NWZE-068,2006-12-12,01:33:15,успешно,нет,0.0
юр. лицо,списание средств,4754.06,безналичный,Могилев,БелАгропромбанк-FWAF-751,2003-02-08,14:32:42,недостаточно средств,нет,0.0
юр. лицо,получение средств,1609.63,наличный,Гомель,БелАгропромбанк-OSCV-323,2011-07-01,05:02:22,успешно,нет,0.0
физ. лицо,получение средств,2474.56,наличный,Могилев,Беларусбанк-IJCB-767,2011-07-05,13:20:30,успешно,нет,0.0
физ. лицо,списание средств,781.44,безналичный,Брест,Белинвестбанк-EBDY-593,2009-04-08,18:07:48,недостаточно средств,нет,0.0
юр. лицо,получение средств,3344.92,наличный,Гомель,МаксБанк-RYOR-285,2000-06-06,09:02:09,успешно,нет,0.0
юр. лицо,получение средств,1798.15,безналичный,Гомель,МаксБанк-JQRL-523,2011-09-11,16:13:54,успешно,нет,0.0
физ. лицо,получение средств,998.74,безналичный,Гомель,БелАгропромбанк-WXBB-083,2005-03-03,22:45:10,успешно,нет,0.0
физ. лицо,списание средств,1000.23,наличный,Минск,Беларусбанк-QNWJ-612,2002-06-06,22:41:59,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1058.65,безналичный,Гомель,БелАгропромбанк-IGOZ-280,2005-03-12,05:07:31,недостаточно средств,да,24.57
физ. лицо,получение средств,2055.48,наличный,Брест,МаксБанк-TJKP-859,2003-06-03,13:41:39,успешно,нет,0.0
физ. лицо,получение средств,4595.86,наличный,Гомель,Приорбанк-KWMJ-292,2001-12-10,08:10:52,успешно,нет,0.0
юр. лицо,списание средств,1998.62,наличный,Витебск,Беларусбанк-EKSA-972,2009-09-04,08:09:00,недостаточно средств,нет,0.0
физ. лицо,получение средств,882.01,безналичный,Витебск,БелАгропромбанк-KZRH-992,2007-06-04,10:37:45,успешно,нет,0.0
физ. лицо,получение средств,2096.13,безналичный,Гродно,БелАгропромбанк-YJCR-645,2007-10-03,02:52:43,успешно,нет,0.0
юр. лицо,списание средств,1173.54,безналичный,Могилев,Белинвестбанк-UVXP-450,2013-02-12,15:02:32,недостаточно средств,да,95.77
физ. лицо,получение средств,4073.21,безналичный,Гомель,Приорбанк-CCZA-937,2011-01-02,11:38:23,успешно,нет,0.0
юр. лицо,списание средств,2835.74,наличный,Брест,Приорбанк-PEBX-919,2005-07-08,18:25:20,неправильный ввод пин-кода,да,149.67
юр. лицо,списание средств,1543.86,наличный,Минск,МаксБанк-OTGO-302,2007-04-07,23:03:37,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,886.13,безналичный,Витебск,Беларусбанк-IHPN-531,2008-12-07,10:46:30,успешно,нет,0.0
физ. лицо,получение средств,3083.52,безналичный,Витебск,Белинвестбанк-IDQA-363,2003-10-08,16:38:01,успешно,нет,0.0
юр. лицо,получение средств,113.83,безналичный,Гомель,Белинвестбанк-SYQA-583,2005-02-08,03:47:58,успешно,нет,0.0
физ. лицо,списание средств,935.16,наличный,Минск,Белинвестбанк-LMPG-983,2004-10-06,16:32:26,недостаточно средств,да,70.89
физ. лицо,списание средств,4789.71,безналичный,Гродно,Беларусбанк-HCJR-171,2005-06-05,05:06:07,успешно,да,341.36
юр. лицо,списание средств,3377.78,наличный,Гродно,БелАгропромбанк-AYYC-959,2004-02-09,01:30:07,неправильный ввод пин-кода,да,277.86
юр. лицо,списание средств,3829.09,наличный,Могилев,Приорбанк-YHOM-809,2004-11-09,14:10:34,успешно,нет,0.0
физ. лицо,получение средств,447.26,безналичный,Витебск,БелАгропромбанк-ORWA-657,2012-08-10,11:32:42,успешно,нет,0.0
юр. лицо,получение средств,884.45,наличный,Гомель,МаксБанк-FSYN-183,2007-12-07,13:05:30,успешно,нет,0.0
физ. лицо,получение средств,3293.22,безналичный,Гродно,Белинвестбанк-YGIG-149,2008-06-01,23:25:59,успешно,нет,0.0
физ. лицо,списание средств,1061.72,наличный,Могилев,Приорбанк-RAPF-729,2003-07-02,12:18:06,успешно,да,80.47
физ. лицо,получение средств,2027.21,безналичный,Гродно,Белинвестбанк-ZTYO-849,2002-02-10,01:37:36,успешно,нет,0.0
юр. лицо,получение средств,4884.54,наличный,Брест,МаксБанк-MIUF-725,2010-09-09,13:43:56,успешно,нет,0.0
физ. лицо,списание средств,1147.62,наличный,Витебск,Беларусбанк-ZJHM-061,2008-01-09,03:33:40,успешно,нет,0.0
юр. лицо,списание средств,663.62,наличный,Брест,Приорбанк-BYLD-008,2011-03-08,05:37:49,недостаточно средств,да,49.55
физ. лицо,получение средств,636.78,наличный,Минск,МаксБанк-FBIX-041,2009-01-12,13:54:23,успешно,нет,0.0
физ. лицо,списание средств,1875.85,безналичный,Брест,МаксБанк-BWFM-612,2000-12-03,17:55:12,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3865.14,безналичный,Брест,Беларусбанк-FRBT-689,2003-08-09,04:01:37,неправильный ввод пин-кода,да,95.27
физ. лицо,получение средств,3959.43,безналичный,Брест,БелАгропромбанк-HTCX-450,2013-03-02,21:09:05,успешно,нет,0.0
юр. лицо,списание средств,1729.33,наличный,Минск,Белинвестбанк-PDTC-716,2010-02-03,12:42:25,недостаточно средств,нет,0.0
юр. лицо,получение средств,370.92,наличный,Могилев,МаксБанк-UGQS-809,2007-04-03,23:26:53,успешно,нет,0.0
физ. лицо,получение средств,872.58,наличный,Брест,Приорбанк-XMVA-262,2010-12-04,07:41:22,успешно,нет,0.0
физ. лицо,списание средств,1341.44,безналичный,Брест,МаксБанк-MZRR-811,2010-09-01,00:50:01,недостаточно средств,нет,0.0
физ. лицо,списание средств,2395.7,наличный,Гродно,Приорбанк-TLGJ-139,2009-10-10,21:53:52,недостаточно средств,да,229.78
юр. лицо,получение средств,2558.92,безналичный,Могилев,Белинвестбанк-NTOV-133,2008-01-12,15:04:44,успешно,нет,0.0
физ. лицо,получение средств,530.15,наличный,Гомель,БелАгропромбанк-ZELC-994,2013-01-01,12:02:18,успешно,нет,0.0
юр. лицо,списание средств,4140.77,безналичный,Брест,БелАгропромбанк-NMNA-441,2002-07-03,03:33:20,недостаточно средств,да,122.79
физ. лицо,списание средств,2071.71,наличный,Гомель,Беларусбанк-TWDB-395,2009-12-04,14:01:26,неправильный ввод пин-кода,да,73.54
физ. лицо,списание средств,1694.56,наличный,Минск,МаксБанк-YFWS-354,2010-12-09,05:45:01,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2501.97,наличный,Гродно,Беларусбанк-NEXK-789,2003-02-09,13:14:44,неправильный ввод пин-кода,да,76.65
физ. лицо,получение средств,916.96,наличный,Гомель,БелАгропромбанк-TFFN-253,2003-03-10,05:14:42,успешно,нет,0.0
физ. лицо,получение средств,1727.66,наличный,Минск,МаксБанк-KITM-556,2003-02-06,08:57:54,успешно,нет,0.0
юр. лицо,получение средств,4995.22,безналичный,Брест,МаксБанк-HAGZ-152,2011-05-06,11:02:31,успешно,нет,0.0
юр. лицо,получение средств,881.62,наличный,Могилев,Беларусбанк-GLCK-445,2007-03-02,12:21:27,успешно,нет,0.0
юр. лицо,получение средств,3747.37,наличный,Минск,МаксБанк-PJMT-183,2009-08-08,19:48:23,успешно,нет,0.0
физ. лицо,списание средств,1241.31,наличный,Минск,МаксБанк-CCIQ-733,2008-08-03,03:06:56,успешно,да,61.7
юр. лицо,списание средств,1969.74,безналичный,Витебск,Приорбанк-PFII-513,2010-05-12,19:46:17,неправильный ввод пин-кода,да,127.55
юр. лицо,получение средств,3755.97,безналичный,Витебск,МаксБанк-DLEJ-772,2003-09-10,02:23:40,успешно,нет,0.0
физ. лицо,получение средств,2676.85,безналичный,Витебск,БелАгропромбанк-SMNI-114,2010-03-09,07:42:43,успешно,нет,0.0
физ. лицо,списание средств,4167.13,безналичный,Гродно,Белинвестбанк-EMIE-218,2012-04-04,12:17:40,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,231.98,безналичный,Витебск,Приорбанк-BVUR-993,2003-05-05,11:50:11,успешно,нет,0.0
физ. лицо,списание средств,1902.39,наличный,Гродно,Беларусбанк-HBBL-422,2012-10-12,17:00:32,успешно,да,75.71
физ. лицо,списание средств,493.07,наличный,Гродно,Белинвестбанк-SWVL-434,2013-02-04,21:33:00,неправильный ввод пин-кода,да,32.34
юр. лицо,списание средств,3203.47,безналичный,Витебск,Приорбанк-ZHFW-229,2002-12-08,14:53:06,успешно,нет,0.0
юр. лицо,списание средств,208.89,безналичный,Могилев,Приорбанк-HCES-496,2005-12-12,15:27:30,успешно,нет,0.0
юр. лицо,получение средств,4661.71,безналичный,Гродно,МаксБанк-SQAJ-939,2004-11-07,20:30:42,успешно,нет,0.0
физ. лицо,получение средств,4016.99,наличный,Витебск,Беларусбанк-EVFQ-573,2009-08-01,09:01:27,успешно,нет,0.0
физ. лицо,получение средств,135.33,наличный,Минск,БелАгропромбанк-WLRY-210,2010-06-10,06:13:58,успешно,нет,0.0
юр. лицо,списание средств,183.1,наличный,Витебск,МаксБанк-IRLV-060,2012-12-11,13:23:00,неправильный ввод пин-кода,да,7.9
физ. лицо,получение средств,1352.57,безналичный,Могилев,Приорбанк-FEJW-005,2001-04-10,20:36:21,успешно,нет,0.0
физ. лицо,получение средств,3089.41,наличный,Витебск,БелАгропромбанк-NMBJ-107,2006-05-07,02:52:03,успешно,нет,0.0
юр. лицо,списание средств,4383.17,безналичный,Гродно,Белинвестбанк-GMBZ-885,2004-09-10,08:04:32,недостаточно средств,да,274.09
физ. лицо,списание средств,4006.91,наличный,Гомель,Приорбанк-TLJC-033,2007-11-12,14:43:27,успешно,да,282.57
юр. лицо,списание средств,4748.97,наличный,Минск,МаксБанк-GRPU-480,2008-07-03,06:41:31,успешно,да,362.98
физ. лицо,списание средств,594.6,безналичный,Минск,Белинвестбанк-DLKU-841,2004-05-02,12:58:14,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,149.05,наличный,Брест,МаксБанк-FXPE-315,2003-08-03,04:19:11,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1462.04,безналичный,Витебск,Беларусбанк-GAUM-957,2006-10-05,13:24:48,успешно,да,135.28
юр. лицо,списание средств,3512.03,наличный,Витебск,Беларусбанк-ZAAP-795,2004-08-02,03:07:16,недостаточно средств,да,166.25
юр. лицо,списание средств,3663.55,наличный,Гомель,БелАгропромбанк-FELV-402,2005-11-05,09:14:13,неправильный ввод пин-кода,да,220.63
юр. лицо,списание средств,2283.57,наличный,Гомель,МаксБанк-YPFY-790,2012-10-04,13:22:56,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2946.23,безналичный,Гродно,Беларусбанк-KWTN-028,2009-02-09,05:08:23,успешно,да,52.67
юр. лицо,списание средств,1366.01,наличный,Минск,Приорбанк-ABKI-505,2001-05-03,06:31:51,неправильный ввод пин-кода,да,132.03
физ. лицо,списание средств,483.64,безналичный,Минск,Беларусбанк-BWJP-590,2001-10-12,23:32:08,успешно,нет,0.0
юр. лицо,получение средств,1065.95,наличный,Витебск,Приорбанк-UKWR-266,2001-11-02,18:20:56,успешно,нет,0.0
физ. лицо,получение средств,4317.63,безналичный,Гродно,БелАгропромбанк-ZLNB-464,2010-08-03,21:33:18,успешно,нет,0.0
физ. лицо,списание средств,1809.36,безналичный,Могилев,Беларусбанк-VEJU-022,2003-08-02,00:31:26,недостаточно средств,нет,0.0
физ. лицо,получение средств,4937.34,наличный,Могилев,МаксБанк-ZZGR-876,2000-09-04,10:41:44,успешно,нет,0.0
физ. лицо,получение средств,4493.92,наличный,Могилев,Белинвестбанк-FBDR-731,2002-10-04,09:56:03,успешно,нет,0.0
физ. лицо,списание средств,4861.39,наличный,Минск,Белинвестбанк-YIZS-217,2007-09-09,11:45:39,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2307.29,безналичный,Брест,МаксБанк-QCLM-947,2008-01-07,11:45:14,недостаточно средств,да,35.44
физ. лицо,получение средств,170.74,безналичный,Витебск,БелАгропромбанк-OWBZ-339,2013-09-05,05:36:14,успешно,нет,0.0
юр. лицо,списание средств,4310.18,наличный,Минск,Белинвестбанк-FBXU-183,2002-02-06,20:30:59,успешно,нет,0.0
физ. лицо,получение средств,3514.33,безналичный,Гомель,Приорбанк-ZACV-682,2000-04-06,03:43:42,успешно,нет,0.0
физ. лицо,списание средств,4670.37,наличный,Гомель,БелАгропромбанк-NWPX-008,2012-04-01,14:48:54,недостаточно средств,да,155.3
юр. лицо,получение средств,2656.91,безналичный,Гродно,БелАгропромбанк-TNYF-838,2000-04-07,00:29:31,успешно,нет,0.0
физ. лицо,списание средств,5.34,наличный,Брест,БелАгропромбанк-BSDH-080,2001-08-12,15:32:21,успешно,да,0.13
юр. лицо,получение средств,4632.4,безналичный,Гомель,БелАгропромбанк-VWAV-914,2012-04-12,07:46:48,успешно,нет,0.0
физ. лицо,получение средств,4940.12,наличный,Могилев,БелАгропромбанк-TTRJ-374,2007-09-01,05:38:01,успешно,нет,0.0
юр. лицо,списание средств,4711.19,безналичный,Брест,Беларусбанк-EDAX-274,2004-07-05,07:43:31,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,871.03,безналичный,Гомель,МаксБанк-SMFL-989,2011-10-06,10:11:34,успешно,нет,0.0
юр. лицо,списание средств,2621.24,безналичный,Могилев,Приорбанк-NCOH-385,2005-12-08,12:20:21,успешно,нет,0.0
физ. лицо,получение средств,356.4,наличный,Гомель,БелАгропромбанк-OBEQ-613,2006-11-01,05:25:20,успешно,нет,0.0
физ. лицо,получение средств,815.21,безналичный,Брест,Белинвестбанк-AZFK-795,2005-04-06,21:38:06,успешно,нет,0.0
физ. лицо,списание средств,3427.59,наличный,Минск,БелАгропромбанк-XZGD-204,2013-11-07,20:31:40,недостаточно средств,да,146.18
юр. лицо,получение средств,2211.67,безналичный,Брест,Приорбанк-HXBY-703,2001-12-08,04:18:18,успешно,нет,0.0
юр. лицо,получение средств,4403.93,наличный,Могилев,БелАгропромбанк-PCAJ-424,2011-12-11,06:41:11,успешно,нет,0.0
физ. лицо,списание средств,3006.07,наличный,Минск,МаксБанк-CINM-638,2003-08-09,14:47:48,недостаточно средств,да,101.33
юр. лицо,получение средств,3410.52,безналичный,Могилев,Белинвестбанк-DDVQ-027,2004-01-10,03:21:28,успешно,нет,0.0
юр. лицо,списание средств,3670.81,безналичный,Могилев,МаксБанк-LNPR-002,2008-07-10,08:26:01,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,295.2,наличный,Гомель,Приорбанк-BJSX-880,2012-02-12,22:35:20,успешно,нет,0.0
физ. лицо,получение средств,4051.2,наличный,Минск,Беларусбанк-KPIS-939,2005-10-05,21:13:52,успешно,нет,0.0
физ. лицо,получение средств,2185.68,безналичный,Минск,БелАгропромбанк-XENY-089,2002-10-08,18:05:16,успешно,нет,0.0
юр. лицо,получение средств,4678.95,наличный,Брест,Беларусбанк-GIBV-845,2002-10-02,19:39:43,успешно,нет,0.0
юр. лицо,получение средств,2239.4,безналичный,Минск,Белинвестбанк-HGEL-382,2012-08-08,16:48:19,успешно,нет,0.0
физ. лицо,получение средств,2853.54,безналичный,Минск,БелАгропромбанк-KUHR-876,2000-08-09,07:55:41,успешно,нет,0.0
юр. лицо,получение средств,4134.78,наличный,Минск,Белинвестбанк-XMSB-160,2006-09-01,01:06:41,успешно,нет,0.0
физ. лицо,получение средств,3124.03,наличный,Минск,БелАгропромбанк-UVEG-163,2010-04-12,07:52:58,успешно,нет,0.0
юр. лицо,получение средств,3735.34,наличный,Витебск,МаксБанк-IFHL-543,2011-11-01,00:04:00,успешно,нет,0.0
физ. лицо,списание средств,3332.03,наличный,Минск,БелАгропромбанк-XDLH-758,2013-09-02,21:49:44,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3994.63,наличный,Минск,МаксБанк-MKQJ-036,2003-08-02,19:25:18,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4946.22,наличный,Могилев,БелАгропромбанк-BLDR-565,2006-10-10,21:09:00,успешно,нет,0.0
физ. лицо,списание средств,777.73,безналичный,Минск,Беларусбанк-CCSA-973,2009-09-11,07:14:32,недостаточно средств,нет,0.0
юр. лицо,списание средств,3165.36,наличный,Витебск,Беларусбанк-ZEVL-461,2010-11-01,16:17:17,недостаточно средств,нет,0.0
юр. лицо,получение средств,2614.1,наличный,Могилев,БелАгропромбанк-HSVO-605,2006-10-03,20:09:42,успешно,нет,0.0
физ. лицо,списание средств,735.06,безналичный,Брест,МаксБанк-WGUB-325,2011-09-05,17:27:55,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3863.28,наличный,Могилев,Белинвестбанк-RJSD-012,2009-11-07,03:21:36,успешно,нет,0.0
юр. лицо,получение средств,1015.1,безналичный,Витебск,Белинвестбанк-IFMH-130,2012-01-01,04:03:17,успешно,нет,0.0
юр. лицо,списание средств,4892.77,безналичный,Могилев,БелАгропромбанк-ALAL-497,2003-07-01,09:00:21,успешно,нет,0.0
юр. лицо,списание средств,527.69,наличный,Минск,Беларусбанк-WSVH-597,2003-07-06,11:40:32,успешно,да,14.52
физ. лицо,списание средств,4930.47,наличный,Брест,МаксБанк-RPJH-183,2001-10-12,03:49:34,неправильный ввод пин-кода,да,447.61
физ. лицо,получение средств,343.56,безналичный,Витебск,Беларусбанк-RMOQ-768,2004-04-10,01:03:12,успешно,нет,0.0
физ. лицо,списание средств,3546.6,безналичный,Минск,Белинвестбанк-KTYG-376,2010-08-01,20:51:24,недостаточно средств,нет,0.0
физ. лицо,получение средств,1205.88,наличный,Гродно,БелАгропромбанк-DXWF-241,2001-12-11,21:21:03,успешно,нет,0.0
физ. лицо,списание средств,2659.73,наличный,Витебск,МаксБанк-IDMW-472,2009-04-06,19:17:48,успешно,да,108.69
физ. лицо,списание средств,1313.1,безналичный,Гродно,БелАгропромбанк-HHAC-830,2004-11-04,09:25:28,неправильный ввод пин-кода,да,65.46
юр. лицо,получение средств,1575.52,наличный,Минск,Белинвестбанк-OYOR-907,2011-06-02,11:08:26,успешно,нет,0.0
юр. лицо,получение средств,3325.14,безналичный,Минск,Белинвестбанк-IRIP-242,2010-01-12,16:14:16,успешно,нет,0.0
